name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Joe Musgrove,San Diego,Padres,NL West,6,5,3.88,19,19,10,0,0,0,0,0,99.2,410,94,44,43,14,23,0,10,0,0,101
Cooper Criswell,Boston,Red Sox,AL East,6,5,4.08,26,18,1,0,0,0,0,0,99.1,424,103,52,45,10,31,0,7,2,0,73
Keider Montero,Detroit,Tigers,AL Central,6,6,4.76,19,16,4,1,1,0,0,0,98.1,412,100,54,52,19,31,0,3,2,0,77
Randy Vásquez,San Diego,Padres,NL West,4,7,4.87,20,20,6,0,0,0,0,0,98,431,119,56,53,13,29,1,6,5,2,62
Logan Allen,Cleveland,Guardians,AL Central,8,5,5.73,20,20,5,0,0,0,0,0,97.1,432,113,63,62,22,41,0,4,4,0,79
Edward Cabrera,Miami,Marlins,NL East,4,8,4.95,20,20,5,0,0,0,0,0,96.1,418,82,60,53,15,50,0,5,1,1,107
Dane Dunning,Texas,Rangers,AL West,5,7,5.31,26,15,2,0,0,0,0,0,95,421,97,60,56,18,40,1,6,2,0,91
Gerrit Cole,New York,Yankees,AL East,8,5,3.41,17,17,8,0,0,0,0,0,95,390,78,38,36,11,29,1,6,0,0,99
Tyler Holton,Detroit,Tigers,AL Central,7,2,2.19,66,9,0,0,0,8,14,0,94.1,354,57,25,23,7,17,1,4,0,0,77
Carson Spiers,Cincinnati,Reds,NL Central,5,7,5.46,22,10,2,0,0,0,0,0,90.2,410,112,59,55,20,27,0,5,0,0,80
Justin Verlander,Houston,Astros,AL West,5,6,5.48,17,17,6,0,0,0,0,0,90.1,396,98,56,55,15,27,0,6,2,1,74
Yoshinobu Yamamoto,Los Angeles,Dodgers,NL West,7,2,3,18,18,7,0,0,0,0,0,90,368,78,32,30,7,22,0,1,2,0,105
Derek Law,Washington,Nationals,NL East,7,4,2.6,75,0,0,0,0,1,17,4,90,365,82,31,26,7,24,0,1,6,0,76
Dakota Hudson,Colorado,Rockies,NL West,2,12,6.17,18,18,4,0,0,0,0,0,89,404,99,66,61,11,50,0,5,3,0,49
DJ Herz,Washington,Nationals,NL East,4,9,4.16,19,19,2,0,0,0,0,0,88.2,382,76,45,41,11,36,0,3,5,1,106
Chris Paddack,Minnesota,Twins,AL Central,5,3,4.99,17,17,4,0,0,0,0,0,88.1,384,102,50,49,14,21,0,1,3,0,79
Reid Detmers,"""Los Angeles""",Angels,AL West,4,9,6.7,17,17,4,0,0,0,0,0,87.1,391,98,67,65,18,38,0,2,4,0,109
Carson Fulmer,"""Los Angeles""",Angels,AL West,0,5,4.15,37,8,2,0,0,0,0,1,86.2,379,81,45,40,11,40,4,5,5,2,81
Yariel Rodríguez,Toronto,Blue Jays,AL East,1,8,4.47,21,21,2,0,0,0,0,0,86.2,368,74,46,43,11,40,0,3,0,2,85
Ryan Weathers,Miami,Marlins,NL East,5,6,3.63,16,16,7,0,0,0,0,0,86.2,367,78,39,35,11,24,1,9,2,1,80
Matthew Liberatore,St. Louis,Cardinals,NL Central,3,4,4.4,60,6,1,0,0,0,7,2,86,358,81,44,42,11,28,3,2,3,0,76
Ross Stripling,Sacramento,Athletics,AL West,2,11,6.01,22,14,2,0,0,0,1,0,85.1,381,109,65,57,7,22,2,1,2,1,49
Clarke Schmidt,New York,Yankees,AL East,5,5,2.85,16,16,2,0,0,0,0,0,85.1,353,71,31,27,8,30,0,9,2,0,93
Luke Weaver,New York,Yankees,AL East,7,3,2.89,62,0,0,0,0,4,22,0,84,331,52,28,27,10,26,0,4,1,0,103
Taijuan Walker,Philadelphia,Phillies,NL East,3,7,7.1,19,15,2,0,0,0,0,0,83.2,381,107,68,66,24,37,0,3,0,0,58
Roddery Muñoz,Miami,Marlins,NL East,2,7,6.53,18,17,2,0,0,0,0,0,82.2,379,89,66,60,26,42,0,5,4,1,70
Yu Darvish,San Diego,Padres,NL West,7,3,3.31,16,16,5,0,0,0,0,0,81.2,331,65,32,30,12,22,0,3,2,0,78
Sean Hjelle,San Francisco,Giants,NL West,3,4,3.9,58,0,0,0,0,0,7,0,80.2,337,84,37,35,10,14,2,5,0,0,75
Ryan Walker,San Francisco,Giants,NL West,10,4,1.91,76,1,0,0,0,10,21,4,80,308,50,19,17,5,18,1,9,2,0,99
Patrick Sandoval,"""Los Angeles""",Angels,AL West,2,8,5.08,16,16,4,0,0,0,0,0,79.2,353,85,49,45,8,35,2,3,6,2,81
Cade Povich,Baltimore,Orioles,AL East,3,9,5.2,16,16,3,0,0,0,0,0,79.2,352,80,49,46,12,34,1,3,1,0,69
Michael Soroka,Chicago,White Sox,AL Central,0,10,4.74,25,9,1,0,0,0,2,1,79.2,347,66,49,42,13,44,1,3,2,2,84
Shane Baz,Tampa Bay,Rays,AL East,4,3,3.06,14,14,8,0,0,0,0,0,79.1,319,57,28,27,9,27,0,4,2,0,69
Keegan Akin,Baltimore,Orioles,AL East,3,1,3.32,66,0,0,0,0,1,6,3,78.2,313,55,31,29,9,19,1,2,4,0,97
Bryan Abreu,Houston,Astros,AL West,3,3,3.1,78,0,0,0,0,1,38,7,78.1,325,59,27,27,9,32,0,6,4,1,103
Tylor Megill,New York,Mets,NL East,4,5,4.04,16,15,3,0,0,0,0,0,78,337,70,39,35,8,32,0,4,4,0,91
Graham Ashcraft,Cincinnati,Reds,NL Central,5,5,5.24,15,15,3,0,0,0,0,0,77.1,350,89,50,45,11,27,0,6,4,0,57
Slade Cecconi,Arizona,Diamondbacks,NL West,2,7,6.66,20,13,3,0,0,0,0,0,77,338,92,57,57,16,17,1,4,2,1,64
Cody Bradford,Texas,Rangers,AL West,6,3,3.54,14,13,8,0,0,0,0,0,76.1,308,64,32,30,10,13,0,1,1,0,70
Gavin Williams,Cleveland,Guardians,AL Central,3,10,4.86,16,16,3,0,0,0,0,0,76,332,72,42,41,7,32,0,3,2,0,79
Josh Winckowski,Boston,Red Sox,AL East,4,2,4.14,40,6,0,0,0,2,4,1,76,336,81,44,35,10,26,3,4,1,0,60
Triston McKenzie,Cleveland,Guardians,AL Central,3,5,5.11,16,16,3,0,0,0,0,0,75.2,340,69,46,43,19,49,1,1,5,0,74
Walker Buehler,Los Angeles,Dodgers,NL West,1,6,5.38,16,16,3,0,0,0,0,0,75.1,344,89,52,45,16,28,0,5,3,0,64
Cade Smith,Cleveland,Guardians,AL Central,6,1,1.91,74,0,0,0,0,1,26,2,75.1,289,51,16,16,1,17,0,3,0,1,103
Hunter Gaddis,Cleveland,Guardians,AL Central,6,3,1.57,78,0,0,0,0,0,33,5,74.2,278,43,16,13,4,14,1,4,2,0,66
Emmanuel Clase,Cleveland,Guardians,AL Central,4,2,0.61,74,0,0,0,0,47,0,3,74.1,270,39,10,5,2,10,1,2,2,0,66
Joe Ross,Milwaukee,Brewers,NL Central,3,6,3.77,25,10,2,0,0,0,0,0,74,321,72,35,31,7,29,1,1,1,0,66
José Buttó,New York,Mets,NL East,7,3,2.55,30,7,3,0,0,3,4,3,74,294,41,21,21,6,38,0,5,2,1,79
Merrill Kelly,Arizona,Diamondbacks,NL West,5,1,4.03,13,13,5,0,0,0,0,0,73.2,300,67,35,33,11,19,0,2,1,2,63
Victor Vodnik,Colorado,Rockies,NL West,5,4,4.28,64,0,0,0,0,9,6,6,73.2,320,72,37,35,7,37,1,1,4,0,65
Hunter Strickland,"""Los Angeles""",Angels,AL West,3,2,3.31,72,0,0,0,0,1,12,3,73.1,294,56,31,27,10,24,1,2,1,0,57
Jared Shuster,Chicago,White Sox,AL Central,2,5,4.3,39,4,0,0,0,0,3,2,73.1,321,74,38,35,9,33,0,0,3,0,56
Justin Martinez,Arizona,Diamondbacks,NL West,5,6,2.48,64,0,0,0,0,8,7,2,72.2,308,59,26,20,2,36,6,2,8,1,91
Hogan Harris,Sacramento,Athletics,AL West,4,4,2.86,21,9,3,0,0,0,0,0,72.1,305,65,29,23,7,33,0,3,3,1,61
Trent Thornton,Seattle,Mariners,AL West,4,3,3.61,71,0,0,0,0,1,10,0,72.1,294,63,32,29,8,19,1,5,4,0,77
Hayden Birdsong,San Francisco,Giants,NL West,5,6,4.75,16,16,1,0,0,0,0,0,72,315,57,39,38,11,43,0,4,4,0,88
David Robertson,Texas,Rangers,AL West,3,4,3,68,0,0,0,0,2,34,8,72,296,53,25,24,5,27,4,5,8,1,99
Ty Blach,Colorado,Rockies,NL West,3,8,6.94,20,12,2,0,0,0,0,1,71.1,330,103,55,55,17,18,0,6,1,0,36
Cole Sands,Minnesota,Twins,AL Central,9,1,3.28,62,0,0,0,0,4,5,3,71.1,292,59,30,26,6,12,0,6,3,1,85
Josh Hader,Houston,Astros,AL West,8,8,3.8,71,0,0,0,0,34,0,4,71,278,43,33,30,12,25,0,1,4,2,105
Buck Farmer,Cincinnati,Reds,NL Central,3,2,3.04,61,1,0,0,0,1,1,1,71,299,56,25,24,7,29,6,7,1,0,70
Griffin Jax,Minnesota,Twins,AL Central,5,5,2.03,72,0,0,0,0,10,24,6,71,276,47,19,16,4,15,1,2,4,0,95
Andrew Kittredge,St. Louis,Cardinals,NL Central,5,5,2.8,74,0,0,0,0,1,37,7,70.2,287,60,26,22,10,20,2,0,0,0,67
Kevin Kelly,Tampa Bay,Rays,AL East,5,2,2.67,68,0,0,0,0,1,17,3,70.2,278,59,25,21,7,9,1,5,1,0,63
Tyler Rogers,San Francisco,Giants,NL West,3,4,2.82,77,0,0,0,0,1,32,2,70.1,290,67,23,22,7,6,2,7,1,0,51
Declan Cronin,Miami,Marlins,NL East,3,4,4.35,56,0,0,0,0,0,8,1,70.1,306,75,41,34,1,25,3,5,1,0,72
Will Vest,Detroit,Tigers,AL Central,3,4,2.82,69,0,0,0,0,2,14,6,70.1,289,61,23,22,3,18,2,3,4,0,63
Kevin Ginkel,Arizona,Diamondbacks,NL West,8,3,3.21,72,0,0,0,0,5,17,6,70,291,69,31,25,6,15,0,3,4,0,77
Raisel Iglesias,Atlanta,Braves,NL East,6,2,1.95,66,0,0,0,0,34,0,4,69.1,259,38,19,15,4,13,3,3,1,0,68
Adrian Houser,New York,Mets,NL East,1,5,5.84,23,7,0,0,0,1,1,0,69.1,309,74,48,45,8,32,0,4,2,0,45
Landon Knack,Los Angeles,Dodgers,NL West,3,5,3.65,15,12,2,0,0,1,0,0,69,286,58,28,28,14,18,0,3,1,1,69
Tayler Scott,Houston,Astros,AL West,7,3,2.23,62,1,0,0,0,0,9,3,68.2,282,45,21,17,7,35,1,4,0,0,71
Joe Jiménez,Atlanta,Braves,NL East,1,5,2.62,69,0,0,0,0,3,27,3,68.2,277,45,22,20,2,23,1,4,0,0,82
Valente Bellozo,Miami,Marlins,NL East,3,4,3.67,13,13,2,0,0,0,0,0,68.2,295,69,31,28,15,21,1,2,0,0,44
Grant Holmes,Atlanta,Braves,NL East,2,1,3.56,26,7,1,0,0,0,1,1,68.1,282,66,27,27,7,15,2,2,2,0,70
Hayden Wesneski,Chicago,Cubs,NL Central,3,6,3.86,28,7,3,0,0,0,2,1,67.2,283,56,37,29,12,21,0,2,1,1,67
Beau Brieske,Detroit,Tigers,AL Central,4,5,3.59,46,12,0,0,0,1,6,1,67.2,282,55,31,27,5,30,2,2,0,0,69
Erik Miller,San Francisco,Giants,NL West,4,5,3.88,73,10,0,0,0,0,14,3,67.1,284,50,33,29,7,38,0,1,1,0,87
Ryan Fernandez,St. Louis,Cardinals,NL Central,1,6,3.51,62,0,0,0,0,2,12,3,66.2,285,58,30,26,4,32,5,2,0,0,71
Jesús Luzardo,Miami,Marlins,NL East,3,6,5,12,12,4,0,0,0,0,0,66.2,274,61,37,37,9,22,0,2,3,0,58
Trevor Williams,Washington,Nationals,NL East,6,1,2.03,13,13,1,0,0,0,0,0,66.2,260,51,17,15,3,18,0,0,0,1,59
José Leclerc,Texas,Rangers,AL West,6,5,4.32,64,0,0,0,0,1,13,3,66.2,288,56,33,32,7,32,1,4,5,2,89
Fernando Cruz,Cincinnati,Reds,NL Central,3,8,4.86,69,3,0,0,0,0,23,3,66.2,288,54,36,36,9,35,2,1,8,0,109
Ryan Helsley,St. Louis,Cardinals,NL Central,7,4,2.04,65,0,0,0,0,49,0,4,66.1,266,50,19,15,3,23,3,0,1,0,79
Ryan Thompson,Arizona,Diamondbacks,NL West,7,5,3.26,67,0,0,0,0,2,24,7,66.1,272,64,26,24,5,15,2,1,2,0,52
Alex Vesia,Los Angeles,Dodgers,NL West,5,4,1.76,67,0,0,0,0,5,13,2,66.1,263,33,19,13,7,33,3,1,2,0,87
Jeff Hoffman,Philadelphia,Phillies,NL East,3,3,2.17,68,0,0,0,0,10,21,3,66.1,265,48,20,16,6,16,1,3,5,0,89
Jacob Barnes,Washington,Nationals,NL East,8,3,4.36,63,0,0,0,0,0,2,3,66,277,67,36,32,10,20,2,0,3,0,55
Tim Herrin,Cleveland,Guardians,AL Central,5,1,1.92,75,0,0,0,0,0,16,2,65.2,257,39,17,14,2,25,1,5,3,1,68
Brent Suter,Cincinnati,Reds,NL Central,1,0,3.15,47,3,0,0,0,2,2,0,65.2,270,63,25,23,10,12,0,3,2,0,50
Jack Kochanowicz,"""Los Angeles""",Angels,AL West,2,6,3.99,11,11,8,0,0,0,0,0,65.1,266,68,30,29,7,10,1,8,1,0,25
Mason Miller,Sacramento,Athletics,AL West,2,2,2.49,55,0,0,0,0,28,0,3,65,249,36,23,18,6,21,3,1,2,0,104
Robert Suarez,San Diego,Padres,NL West,9,3,2.77,65,0,0,0,0,36,1,6,65,258,52,21,20,7,16,1,0,1,0,59
Hoby Milner,Milwaukee,Brewers,NL Central,5,1,4.73,61,1,0,0,0,1,5,0,64.2,268,63,38,34,6,14,2,2,0,0,64
David Festa,Minnesota,Twins,AL Central,2,6,4.9,14,13,1,0,0,0,0,0,64.1,277,62,36,35,9,23,0,2,2,1,77
Tyler Kinley,Colorado,Rockies,NL West,6,1,6.19,67,0,0,0,0,12,14,1,64,285,61,44,44,11,33,2,2,6,0,72
Kyle Finnegan,Washington,Nationals,NL East,3,8,3.68,65,0,0,0,0,38,0,5,63.2,271,61,31,26,9,24,3,0,2,0,60
Adrian Morejon,San Diego,Padres,NL West,3,2,2.83,60,0,0,0,0,2,12,2,63.2,272,63,24,20,4,21,2,1,7,1,71
Osvaldo Bido,Sacramento,Athletics,AL West,5,3,3.41,16,9,4,0,0,0,1,0,63.1,259,43,25,24,3,26,1,7,3,0,63
Jesse Chavez,Atlanta,Braves,NL East,2,2,3.13,46,0,0,0,0,0,1,1,63.1,264,60,27,22,10,19,1,1,0,1,55
Greg Weissert,Boston,Red Sox,AL East,4,2,3.13,62,0,0,0,0,1,4,3,63.1,263,65,32,22,7,20,4,0,2,0,58
Daniel Hudson,Los Angeles,Dodgers,NL West,6,2,3,65,0,0,0,0,10,17,7,63,253,46,25,21,10,19,1,1,2,0,63
Orion Kerkering,Philadelphia,Phillies,NL East,5,3,2.29,64,2,0,0,0,0,14,2,63,257,51,20,16,2,17,0,8,1,0,74
Clay Holmes,New York,Yankees,AL East,3,5,3.14,67,0,0,0,0,30,2,13,63,271,60,29,22,4,22,1,3,4,0,68
Génesis Cabrera,Toronto,Blue Jays,AL East,3,3,3.59,69,0,0,0,0,2,13,3,62.2,271,63,31,25,10,29,4,2,2,2,50
Yuki Matsui,San Diego,Padres,NL West,4,2,3.73,64,0,0,0,0,0,9,4,62.2,257,46,27,26,8,27,4,0,8,0,69
Matt Strahm,Philadelphia,Phillies,NL East,6,2,1.87,66,0,0,0,0,3,18,6,62.2,237,36,14,13,4,11,1,6,2,0,79
Bryan Hudson,Milwaukee,Brewers,NL Central,6,1,1.73,43,0,0,0,0,0,14,3,62.1,231,28,12,12,7,17,0,3,1,1,62
Jared Koenig,Milwaukee,Brewers,NL Central,9,4,2.47,55,6,0,0,0,1,10,2,62,265,54,22,17,4,23,4,4,0,0,63
José Alvarado,Philadelphia,Phillies,NL East,2,5,4.09,66,0,0,0,0,13,10,3,61.2,258,49,30,28,6,28,1,1,4,0,63
Aroldis Chapman,Pittsburgh,Pirates,NL Central,5,5,3.79,68,0,0,0,0,14,22,5,61.2,265,44,31,26,5,39,0,2,4,2,98
Kirby Yates,Texas,Rangers,AL West,7,2,1.17,61,0,0,0,0,33,2,1,61.2,237,23,10,8,3,28,5,2,1,2,85
Peter Lambert,Colorado,Rockies,NL West,2,5,5.72,28,3,0,0,0,0,0,0,61.1,280,73,42,39,7,29,2,2,5,0,50
Austin Voth,Seattle,Mariners,AL West,2,5,3.69,68,0,0,0,0,0,15,2,61,248,46,31,25,9,18,0,3,0,0,61
Jeremiah Estrada,San Diego,Padres,NL West,6,3,2.95,62,0,0,0,0,1,16,3,61,252,42,22,20,4,23,1,0,5,0,94
Emerson Hancock,Seattle,Mariners,AL West,4,4,4.75,12,12,4,0,0,0,0,0,60.2,266,62,37,32,12,19,0,6,0,0,39
John King,St. Louis,Cardinals,NL Central,3,3,2.85,56,0,0,0,0,0,9,2,60,248,58,23,19,5,14,1,1,3,1,38
Taylor Rogers,San Francisco,Giants,NL West,1,4,2.4,64,0,0,0,0,0,5,0,60,249,53,22,16,7,22,0,2,0,0,64
Yennier Cano,Baltimore,Orioles,AL East,4,3,3.15,70,0,0,0,0,5,34,3,60,249,54,24,21,6,24,1,1,0,1,65
Garrett Cleavinger,Tampa Bay,Rays,AL East,7,5,3.75,68,0,0,0,0,6,15,2,60,266,52,29,25,6,31,0,7,2,0,71
Jason Foley,Detroit,Tigers,AL Central,3,6,3.15,69,0,0,0,0,28,8,4,60,250,51,28,21,5,20,2,2,1,1,46
Dylan Lee,Atlanta,Braves,NL East,4,2,2.11,52,0,0,0,0,0,9,2,59.2,240,49,19,14,7,17,4,0,0,0,76
Joe Mantiply,Arizona,Diamondbacks,NL West,6,2,3.92,75,2,0,0,0,1,16,0,59.2,243,52,27,26,1,18,7,0,3,1,53
Robert Garcia,Washington,Nationals,NL East,3,6,4.22,72,0,0,0,0,0,13,4,59.2,251,55,34,28,4,16,1,1,4,0,75
Justin Lawrence,Colorado,Rockies,NL West,4,4,6.49,56,0,0,0,0,2,5,4,59.2,279,73,52,43,9,33,1,7,3,0,45
Anthony Molina,Colorado,Rockies,NL West,1,1,6.79,35,1,0,0,0,0,2,2,59.2,264,72,46,45,5,22,1,2,5,0,41
Bryce Jarvis,Arizona,Diamondbacks,NL West,1,2,3.19,44,0,0,0,0,0,4,0,59.1,258,52,25,21,6,33,4,5,4,0,38
Andrés Muñoz,Seattle,Mariners,AL West,3,7,2.12,60,0,0,0,0,22,6,5,59.1,232,31,16,14,6,26,3,3,3,1,77
Joel Payamps,Milwaukee,Brewers,NL Central,3,7,3.05,68,0,0,0,0,6,21,3,59,235,39,23,20,7,18,4,2,0,0,59
JoJo Romero,St. Louis,Cardinals,NL Central,7,3,3.36,65,0,0,0,0,1,30,8,59,243,52,23,22,8,16,0,5,1,0,51
Camilo Doval,San Francisco,Giants,NL West,5,3,4.88,62,0,0,0,0,23,5,5,59,271,54,35,32,5,39,2,2,7,0,78
Drew Smyly,Chicago,Cubs,NL Central,4,8,3.84,50,0,0,0,0,0,10,3,58.2,257,57,29,25,10,25,3,3,5,0,56
Chris Stratton,Kansas City,Royals,AL Central,4,3,5.55,57,0,0,0,0,4,5,3,58.1,257,53,38,36,5,33,1,3,1,0,44
Jorge Alcala,Minnesota,Twins,AL Central,4,3,3.24,54,0,0,0,0,0,15,1,58.1,235,40,23,21,8,20,1,3,4,0,58
Nick Sandlin,Cleveland,Guardians,AL Central,8,0,3.75,68,1,0,0,0,1,8,3,57.2,246,46,29,24,12,27,2,6,1,0,68
David Bednar,Pittsburgh,Pirates,NL Central,3,8,5.77,62,0,0,0,0,23,3,7,57.2,262,54,40,37,9,28,3,3,2,0,58
Reed Garrett,New York,Mets,NL East,8,5,3.77,53,0,0,0,0,4,14,5,57.1,247,50,28,24,6,30,1,2,3,0,83
Alex Faedo,Detroit,Tigers,AL Central,5,3,3.61,37,6,0,0,0,0,7,3,57.1,246,49,24,23,9,28,0,3,4,0,55
Max Meyer,Miami,Marlins,NL East,3,5,5.68,11,11,3,0,0,0,0,0,57,248,62,38,36,14,19,0,3,0,0,46
Ryan Pressly,Houston,Astros,AL West,2,3,3.49,59,0,0,0,0,4,25,8,56.2,244,58,25,22,4,18,0,2,7,0,58
T.J. McFarland,Sacramento,Athletics,AL West,2,4,3.81,79,0,0,0,0,0,19,2,56.2,235,53,28,24,4,17,5,4,0,0,39
